Entity,Year,No. of Internet Users
Afghanistan,2015,2788039
Albania,2015,1640132
Algeria,2015,15105483
Andorra,2015,63082
Angola,2015,6188099
Antigua and Barbuda,2015,62971
Argentina,2015,29433430
Armenia,2015,1701275
Aruba,2015,92446
Australia,2015,20142518
Austria,2015,7254461
Azerbaijan,2015,7594883
Bahamas,2015,306311
Bahrain,2015,1273321
Bangladesh,2015,20360069
Barbados,2015,211658
Belarus,2015,6036724
Belgium,2015,9567015
Belize,2015,149676
Benin,2015,1230484
Bermuda,2015,62106
Bhutan,2015,295827
Bolivia,2015,4157675
Bosnia and Herzegovina,2015,1853796
Botswana,2015,860109
Brazil,2015,119682082
British Virgin Islands,2015,0
Brunei,2015,300072
Bulgaria,2015,4141150
Burkina Faso,2015,1497442
Burundi,2015,214543
Cambodia,2015,2775155
Cameroon,2015,4211315
Canada,2015,32158908
Cape Verde,2015,235682
Cayman Islands,2015,46920
Central African Republic,2015,139761
Chad,2015,494910
Chile,2015,13693802
China,2015,701038864
Colombia,2015,26342271
Comoros,2015,54468
Congo,2015,385703
Costa Rica,2015,2925540
Cote d'Ivoire,2015,3940655
Croatia,2015,2971781
Cuba,2015,4230356
Curacao,2015,0
Cyprus,2015,851471
Czechia,2015,7963238
Democratic Republic of Congo,2015,2988962
Denmark,2015,5469449
Djibouti,2015,230435
Dominica,2015,45518
Dominican Republic,2015,5641602
East Asia and Pacific,2015,0
Ecuador,2015,7926346
Egypt,2015,36958534
El Salvador,2015,1670090
Equatorial Guinea,2015,287175
Eritrea,2015,36197
Estonia,2015,1162285
Eswatini,2015,290777
Ethiopia,2015,14197662
Europe and Central Asia,2015,0
European Union,2015,0
Faeroe Islands,2015,46015
Fiji,2015,389814
Finland,2015,4735464
France,2015,49775470
French Polynesia,2015,188384
Gabon,2015,928750
Gambia,2015,410071
Georgia,2015,1793920
Germany,2015,71887778
Ghana,2015,6640318
Gibraltar,2015,0
Greece,2015,7222616
Greenland,2015,37799
Grenada,2015,62472
Guatemala,2015,4609269
Guinea,2015,1069592
Guinea-Bissau,2015,109125
Guyana,2015,256715
Haiti,2015,1500054
High income,2015,0
Honduras,2015,2518812
Hong Kong,2015,6286047
Hungary,2015,7170034
Iceland,2015,325109
India,2015,197107112
Indonesia,2015,57162793
Iran,2015,37079861
Iraq,2015,6343312
Ireland,2015,3895670
Israel,2015,6194183
Italy,2015,35020458
Jamaica,2015,1179853
Japan,2015,115872194
Jordan,2015,5147782
Kazakhstan,2015,12633162
Kenya,2015,7771658
Kiribati,2015,17391
Kuwait,2015,3205171
Kyrgyzstan,2015,1789108
Laos,2015,1235310
Latin America and Caribbean,2015,0
Latvia,2015,1577637
Lebanon,2015,4735216
Lesotho,2015,529633
Liberia,2015,461233
Libya,2015,0
Liechtenstein,2015,36123
Lithuania,2015,2115477
Luxembourg,2015,548783
Macao,2015,477429
Madagascar,2015,1037270
Malawi,2015,1016337
Malaysia,2015,22078776
Maldives,2015,237231
Mali,2015,1871064
Malta,2015,346822
Marshall Islands,2015,9531
Mauritania,2015,694536
Mauritius,2015,648381
Mexico,2015,69003337
Micronesia (country),2015,34486
Middle East and North Africa,2015,0
Middle income,2015,0
Moldova,2015,2261399
Monaco,2015,34340
Mongolia,2015,667070
Montenegro,2015,431858
Morocco,2015,19795604
Mozambique,2015,1744811
Myanmar,2015,5611751
Namibia,2015,586379
Nauru,2015,0
Nepal,2015,4854342
Netherlands,2015,15630811
New Caledonia,2015,209455
New Zealand,2015,3911183
Nicaragua,2015,1241097
Niger,2015,498417
Nigeria,2015,45078965
North America,2015,375180404
North Korea,2015,0
North Macedonia,2015,1483590
Norway,2015,5024802
Oman,2015,3082219
Pakistan,2015,23206623
Palau,2015,0
Palestine,2015,0
Panama,2015,2026251
Papua New Guinea,2015,685892
Paraguay,2015,3071450
Peru,2015,12546595
Philippines,2015,38018573
Poland,2015,26214979
Portugal,2015,7114095
Puerto Rico,2015,2219630
Qatar,2015,2242778
Romania,2015,11100258
Russia,2015,101411442
Rwanda,2015,2095733
Saint Kitts and Nevis,2015,36195
Saint Lucia,2015,73241
Saint Vincent and the Grenadines,2015,52608
Samoa,2015,51725
San Marino,2015,0
Sao Tome and Principe,2015,51935
Saudi Arabia,2015,22799204
Senegal,2015,3115294
Serbia,2015,4911514
Seychelles,2015,53858
Sierra Leone,2015,464080
Singapore,2015,4700816
Slovakia,2015,4211254
Slovenia,2015,1521085
Solomon Islands,2015,61270
Somalia,2015,242245
South Africa,2015,29010587
South Asia,2015,0
South Korea,2015,45842053
South Sudan,2015,335829
Spain,2015,36536652
Sri Lanka,2015,2581740
Sub-Saharan Africa,2015,0
Sudan,2015,0
Suriname,2015,246096
Sweden,2015,8924510
Switzerland,2015,7244784
Syria,2015,5757673
Tajikistan,2015,1617868
Tanzania,2015,5254282
Thailand,2015,27637039
Timor,2015,224283
Togo,2015,532094
Tonga,2015,41024
Trinidad and Tobago,2015,950577
Tunisia,2015,5374367
Turkey,2015,42805821
Turkmenistan,2015,864778
Tuvalu,2015,2975
Uganda,2015,2136209
Ukraine,2015,21989568
United Arab Emirates,2015,8069803
United Kingdom,2015,60006613
United States,2015,242008728
Uruguay,2015,2197228
Uzbekistan,2015,13246350
Vanuatu,2015,61790
Venezuela,2015,17707239
Vietnam,2015,41486130
Yemen,2015,6868328
Zambia,2015,1429844
Zimbabwe,2015,3219232
